phase,split,run_path,action_unit_version,adaptation_buffer_ids,arm,encoder_version,model_version,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,mpc_iter,objective_stage,gd_iter,endpoint_candidate_id,c_model_initial,c_env_initial,c_model_endpoint,c_env_endpoint,g_model,g_env,omega,best_so_far_model_candidate_id,best_so_far_env_candidate_id,best_so_far_r_selected
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4""]",FROZEN,0,0,0,0,s0_history_mpc5,dev_valL_frozen_n3,0,1,L,5,full_horizon,74,g74_after,0.00314932013861835,0.003983406350016594,0.0009754920611158013,0.000891845440492034,0.0021738280775025487,0.00309156090952456,-0.0009177328320220113,g74_after,g24_before,0.0001395606668666005
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4""]",FROZEN,0,0,0,0,s0_history_mpc5,dev_valL_frozen_n3,0,1,L,5,full_horizon,99,g99_after,0.00314932013861835,0.003983406350016594,0.0009731260361149907,0.0008201655582524836,0.0021761941025033593,0.0031632407917641103,-0.000987046689260751,g99_after,g24_before,6.788078462705016e-05
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s1_history_mpc0,dev_valL_frozen_n3,1,101,L,0,terminal,0,g0_after,2.9699931144714355,3.3211677074432373,2.668067693710327,2.9427928924560547,0.3019254207611084,0.3783748149871826,-0.07644939422607422,g0_after,g0_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s1_history_mpc0,dev_valL_frozen_n3,1,101,L,0,terminal,24,g24_after,2.9699931144714355,3.3211677074432373,0.02487446554005146,0.07598097622394562,2.945118648931384,3.2451867312192917,-0.3000680822879076,g24_after,g24_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s1_history_mpc0,dev_valL_frozen_n3,1,101,L,0,terminal,49,g49_after,2.9699931144714355,3.3211677074432373,0.011708831414580345,0.022499829530715942,2.958284283056855,3.2986678779125214,-0.34038359485566616,g49_after,g49_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s1_history_mpc0,dev_valL_frozen_n3,1,101,L,0,terminal,74,g74_after,2.9699931144714355,3.3211677074432373,0.007979591377079487,0.04850729927420616,2.962013523094356,3.272660408169031,-0.3106468850746751,g74_after,g49_after,0.02600746974349022
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s1_history_mpc0,dev_valL_frozen_n3,1,101,L,0,terminal,99,g99_after,2.9699931144714355,3.3211677074432373,0.007553387433290482,0.047513026744127274,2.962439727038145,3.27365468069911,-0.31121495366096497,g99_after,g49_after,0.02501319721341133
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0""]",FROZEN,0,0,0,0,s1_history_mpc1,dev_valL_frozen_n3,1,101,L,1,terminal,0,g0_after,0.05668036267161369,0.09870419651269913,0.051234565675258636,0.05785781890153885,0.005445796996355057,0.04084637761116028,-0.03540058061480522,g0_after,g0_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0""]",FROZEN,0,0,0,0,s1_history_mpc1,dev_valL_frozen_n3,1,101,L,1,terminal,24,g24_after,0.05668036267161369,0.09870419651269913,0.009308470413088799,0.024429522454738617,0.047371892258524895,0.07427467405796051,-0.026902781799435616,g24_after,g24_before,0.0035499539226293564
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0""]",FROZEN,0,0,0,0,s1_history_mpc1,dev_valL_frozen_n3,1,101,L,1,terminal,49,g49_after,0.05668036267161369,0.09870419651269913,0.0074613094329833984,0.03510668873786926,0.049219053238630295,0.06359750777482986,-0.01437845453619957,g49_after,g24_before,0.014227120205760002
