phase,split,run_path,action_unit_version,adaptation_buffer_ids,arm,encoder_version,model_version,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,mpc_iter,objective_stage,pool_size,model_best_candidate_id,env_best_candidate_id,final_record_candidate_id,r_selected,r_final_record,eta_model_final_record,error_oscillation,numerical_tie_epsilon,model_tie_count_epsilon,r_selected_tie_min,r_selected_tie_max,model_best_margin,selected_bound_slack,final_bound_slack,g_model_final,g_env_final,omega_final
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc11"", ""s2_executed_mpc12"", ""s2_executed_mpc13"", ""s2_executed_mpc14"", ""s2_executed_mpc15""]",FROZEN,0,0,0,0,s2_history_mpc16,dev_valL_frozen_n3,2,201,L,16,full_horizon,10,g99_after,g24_after,g99_after,0.000607319176197052,0.000607319176197052,0.0,0.001107501913793385,1e-06,3,0.0005246908403933048,0.000607319176197052,3.4924596548080444e-10,0.000500182737596333,0.000500182737596333,0.002733340603299439,0.001625838689506054,0.001107501913793385
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc12"", ""s2_executed_mpc13"", ""s2_executed_mpc14"", ""s2_executed_mpc15"", ""s2_executed_mpc16""]",FROZEN,0,0,0,0,s2_history_mpc17,dev_valL_frozen_n3,2,201,L,17,full_horizon,10,g99_after,g24_after,g99_after,0.0005431829486042261,0.0005431829486042261,0.0,0.0010823904303833842,1e-06,2,0.000543179688975215,0.0005431829486042261,2.3283064365386963e-10,0.0005392074817791581,0.0005392074817791581,0.0026176387909799814,0.0020142747089266777,0.0006033640820533037
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc13"", ""s2_executed_mpc14"", ""s2_executed_mpc15"", ""s2_executed_mpc16"", ""s2_executed_mpc17""]",FROZEN,0,0,0,0,s2_history_mpc18,dev_valL_frozen_n3,2,201,L,18,full_horizon,10,g99_before,g24_after,g99_after,0.0005624804180115461,0.0005624846089631319,1.1641532182693481e-10,0.0009778413223102689,1e-06,2,0.0005624804180115461,0.0005624846089631319,1.1641532182693481e-10,0.00041536090429872274,0.0004153568297624588,0.002645956934429705,0.0017904848791658878,0.0008554720552638173
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc14"", ""s2_executed_mpc15"", ""s2_executed_mpc16"", ""s2_executed_mpc17"", ""s2_executed_mpc18""]",FROZEN,0,0,0,0,s2_history_mpc19,dev_valL_frozen_n3,2,201,L,19,full_horizon,10,g99_before,g24_after,g99_after,0.0005946159362792969,0.0005946177989244461,1.1641532182693481e-10,0.0009078693110495806,1e-06,3,0.0005946159362792969,0.0006451848894357681,1.1641532182693481e-10,0.0003132533747702837,0.0003132516285404563,0.002735273796133697,0.0019621308892965317,0.0007731429068371654
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc0"", ""s2_executed_mpc1""]",FROZEN,0,0,0,0,s2_history_mpc2,dev_valL_frozen_n3,2,201,L,2,terminal,10,g99_after,g99_before,g99_after,9.313225746154785e-10,9.313225746154785e-10,0.0,0.032217398285865784,1e-06,2,0.0,9.313225746154785e-10,2.3283064365386963e-09,0.03221739735454321,0.03221739735454321,0.03695770213380456,0.02725638495758176,0.009701317176222801
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc0"", ""s2_executed_mpc1"", ""s2_executed_mpc2""]",FROZEN,0,0,0,0,s2_history_mpc3,dev_valL_frozen_n3,2,201,L,3,terminal,10,g99_after,g24_before,g99_after,0.014816985465586185,0.014816985465586185,0.0,0.08483097702264786,1e-06,2,0.014816985465586185,0.014816985465586185,4.6566128730773926e-09,0.07001399155706167,0.07001399155706167,0.03560261847451329,0.0034452006220817566,0.032157417852431536
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc0"", ""s2_executed_mpc1"", ""s2_executed_mpc2"", ""s2_executed_mpc3""]",FROZEN,0,0,0,0,s2_history_mpc4,dev_valL_frozen_n3,2,201,L,4,terminal,10,g99_after,g24_after,g99_after,0.0027571730315685272,0.0027571730315685272,0.0,0.024726063013076782,1e-06,2,0.0027571693062782288,0.0027571730315685272,1.0710209608078003e-08,0.021968889981508255,0.021968889981508255,0.036531423684209585,0.018500085920095444,0.01803133776411414
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc0"", ""s2_executed_mpc1"", ""s2_executed_mpc2"", ""s2_executed_mpc3"", ""s2_executed_mpc4""]",FROZEN,0,0,0,0,s2_history_mpc5,dev_valL_frozen_n3,2,201,L,5,full_horizon,10,g99_after,g0_after,g99_after,0.0011173603124916553,0.0011173603124916553,0.0,0.007550858426839113,1e-06,2,0.0011173579841852188,0.0011173603124916553,5.820766091346741e-10,0.006433498114347458,0.006433498114347458,0.0031946696108207107,0.003657231107354164,-0.00046256149653345346
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc1"", ""s2_executed_mpc2"", ""s2_executed_mpc3"", ""s2_executed_mpc4"", ""s2_executed_mpc5""]",FROZEN,0,0,0,0,s2_history_mpc6,dev_valL_frozen_n3,2,201,L,6,full_horizon,10,g99_after,g24_after,g99_after,0.0005574165843427181,0.0005574165843427181,0.0,0.0008718091994524002,1e-06,2,0.0005574142560362816,0.0005574165843427181,8.149072527885437e-10,0.0003143926151096821,0.0003143926151096821,0.0026713922852650285,0.0021331137977540493,0.0005382784875109792
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc2"", ""s2_executed_mpc3"", ""s2_executed_mpc4"", ""s2_executed_mpc5"", ""s2_executed_mpc6""]",FROZEN,0,0,0,0,s2_history_mpc7,dev_valL_frozen_n3,2,201,L,7,full_horizon,10,g99_after,g24_after,g99_after,0.000618733698502183,0.000618733698502183,0.0,0.0009263289393857121,1e-06,2,0.0006187304388731718,0.000618733698502183,6.984919309616089e-10,0.0003075952408835292,0.0003075952408835292,0.002632318646647036,0.002025353256613016,0.00060696539003402
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc3"", ""s2_executed_mpc4"", ""s2_executed_mpc5"", ""s2_executed_mpc6"", ""s2_executed_mpc7""]",FROZEN,0,0,0,0,s2_history_mpc8,dev_valL_frozen_n3,2,201,L,8,full_horizon,10,g99_after,g24_after,g99_after,0.0004201754927635193,0.0004201754927635193,0.0,0.001126261311583221,1e-06,2,0.0004201717674732208,0.0004201754927635193,3.4924596548080444e-10,0.0007060858188197017,0.0007060858188197017,0.002611690550111234,0.0019093812443315983,0.0007023093057796359
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc4"", ""s2_executed_mpc5"", ""s2_executed_mpc6"", ""s2_executed_mpc7"", ""s2_executed_mpc8""]",FROZEN,0,0,0,0,s2_history_mpc9,dev_valL_frozen_n3,2,201,L,9,full_horizon,10,g99_before,g24_after,g99_after,0.0005804363172501326,0.0005804395768791437,0.0,0.0008354379096999764,1e-06,3,0.0005495005752891302,0.0005804395768791437,0.0,0.0002550015924498439,0.00025499833282083273,0.0027304752729833126,0.0019280784763395786,0.000802396796643734
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0,0,0,0,s0_history_mpc0,dev_valL_official_n3,0,1,L,0,terminal,10,g99_after,g49_before,g99_after,0.031846921890974045,0.031846921890974045,0.0,0.17925898730754852,1e-06,2,0.03184691071510315,0.031846921890974045,9.872019290924072e-08,0.14741206541657448,0.14741206541657448,3.441590817645192,3.541346576064825,-0.09975575841963291
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",OFFICIAL_ADAJEPA,1,1,0,1,s0_history_mpc1,dev_valL_official_n3,0,1,L,1,terminal,10,g99_after,g74_after,g99_after,0.0004603331908583641,0.0004603331908583641,0.0,1.4298444641754031,1e-06,2,0.0004603210836648941,0.0004603331908583641,2.3283064365386963e-10,1.4293841309845448,1.4293841309845448,0.01887654117308557,0.030984148383140564,-0.012107607210054994
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",OFFICIAL_ADAJEPA,2,2,0,2,s0_history_mpc2,dev_valL_official_n3,0,1,L,2,terminal,10,g99_after,g24_before,g99_after,0.005424681585282087,0.005424681585282087,0.0,0.08818203629925847,1e-06,2,0.005424681585282087,0.005424693692475557,1.6298145055770874e-09,0.08275735471397638,0.08275735471397638,0.017967018531635404,0.012688837014138699,0.005278181517496705
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",OFFICIAL_ADAJEPA,3,3,0,3,s0_history_mpc3,dev_valL_official_n3,0,1,L,3,terminal,10,g99_after,g24_before,g99_after,0.0052795507945120335,0.0052795507945120335,0.0,0.07284730300307274,1e-06,2,0.0052795507945120335,0.005279563833028078,5.587935447692871e-09,0.0675677522085607,0.0675677522085607,0.01947837765328586,0.00903343502432108,0.010444942628964782
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3""]",OFFICIAL_ADAJEPA,4,4,0,4,s0_history_mpc4,dev_valL_official_n3,0,1,L,4,terminal,10,g99_after,g24_before,g99_after,0.006192678585648537,0.006192678585648537,0.0,0.05499991588294506,1e-06,2,0.006192678585648537,0.006192684173583984,6.984919309616089e-10,0.048807237297296524,0.048807237297296524,0.020272962981835008,0.0043365005403757095,0.015936462441459298
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4""]",OFFICIAL_ADAJEPA,5,5,0,5,s0_history_mpc5,dev_valL_official_n3,0,1,L,5,full_horizon,10,g99_after,g24_before,g99_after,0.00014476844808086753,0.00014476844808086753,0.0,0.0032636774121783674,1e-06,2,0.0001447679242119193,0.00014476844808086753,2.9103830456733704e-10,0.0031189089640975,0.0031189089640975,0.0027035276289097965,0.0034072070848196745,-0.000703679455909878
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0,0,0,0,s1_history_mpc0,dev_valL_official_n3,1,101,L,0,terminal,10,g99_after,g49_after,g99_after,0.02501319721341133,0.02501319721341133,0.0,0.3410213477909565,1e-06,2,0.02501319721341133,0.02501334249973297,7.543712854385376e-08,0.31600815057754517,0.31600815057754517,2.962439727038145,3.27365468069911,-0.31121495366096497
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0""]",OFFICIAL_ADAJEPA,1,1,0,1,s1_history_mpc1,dev_valL_official_n3,1,101,L,1,terminal,10,g99_after,g49_before,g99_after,0.008188454434275627,0.008188454434275627,0.0,0.030426841229200363,1e-06,2,0.008188454434275627,0.008188458159565926,7.450580596923828e-09,0.022238386794924736,0.022238386794924736,0.049075647722929716,0.06517652049660683,-0.01610087277367711
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1""]",OFFICIAL_ADAJEPA,2,2,0,2,s1_history_mpc2,dev_valL_official_n3,1,101,L,2,terminal,10,g99_after,g24_before,g99_after,0.0022416538558900356,0.0022416538558900356,0.0,0.34208207996562123,1e-06,2,0.0022416366264224052,0.0022416538558900356,7.450580596923828e-09,0.3398404261097312,0.3398404261097312,0.05290623567998409,0.0764435981400311,-0.023537362460047007
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2""]",OFFICIAL_ADAJEPA,3,3,0,3,s1_history_mpc3,dev_valL_official_n3,1,101,L,3,terminal,10,g99_after,g24_before,g99_after,0.016912223771214485,0.016912223771214485,0.0,0.13654663879424334,1e-06,2,0.016912223771214485,0.01691223867237568,1.4435499906539917e-08,0.11963441502302885,0.11963441502302885,0.05314966104924679,0.03687572851777077,0.01627393253147602
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3""]",OFFICIAL_ADAJEPA,4,4,0,4,s1_history_mpc4,dev_valL_official_n3,1,101,L,4,terminal,10,g99_after,g99_after,g99_after,0.0,0.0,0.0,0.007449946831911802,1e-06,2,0.0,4.190951585769653e-09,8.847564458847046e-09,0.007449946831911802,0.007449946831911802,0.05022651283070445,0.056369723752141,-0.006143210921436548
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3"", ""s1_executed_mpc4""]",OFFICIAL_ADAJEPA,5,5,0,5,s1_history_mpc5,dev_valL_official_n3,1,101,L,5,full_horizon,10,g99_after,g24_after,g99_after,0.004925384186208248,0.004925384186208248,0.0,0.02449211524799466,1e-06,2,0.004925384186208248,0.004925385117530823,1.3969838619232178e-09,0.019566731061786413,0.019566731061786413,0.0077137029729783535,0.002556798979640007,0.0051569039933383465
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0,0,0,0,s2_history_mpc0,dev_valL_official_n3,2,201,L,0,terminal,10,g99_after,g99_after,g99_after,0.0,0.0,0.0,0.10288976784795523,1e-06,2,0.0,1.862645149230957e-09,2.0954757928848267e-08,0.10288976784795523,0.10288976784795523,1.002483633812517,1.0276599526405334,-0.02517631882801652
