phase,split,shape,arm,objective_stage,independent_unit,n_cases,n_replans,numerical_tie_epsilon,mean_case_r_selected,median_case_r_selected,bootstrap95_low_case_r_selected,bootstrap95_high_case_r_selected,mean_case_r_final_record,median_case_r_final_record,bootstrap95_low_case_r_final_record,bootstrap95_high_case_r_final_record,mean_case_eta_model_final_record,median_case_eta_model_final_record,bootstrap95_low_case_eta_model_final_record,bootstrap95_high_case_eta_model_final_record,mean_case_error_oscillation,median_case_error_oscillation,bootstrap95_low_case_error_oscillation,bootstrap95_high_case_error_oscillation,mean_case_g_model_final,median_case_g_model_final,bootstrap95_low_case_g_model_final,bootstrap95_high_case_g_model_final,mean_case_g_env_final,median_case_g_env_final,bootstrap95_low_case_g_env_final,bootstrap95_high_case_g_env_final,mean_case_omega_final,median_case_omega_final,bootstrap95_low_case_omega_final,bootstrap95_high_case_omega_final
ood,val_I,I,FROZEN,full_horizon,matched_initial_goal_case,5,75,1e-06,0.001447431178142627,0.00037265156085292497,0.0002804984090228876,0.0032726303267603105,0.0014474311967690786,0.00037265208860238396,0.00028049876292546587,0.003272630353768665,8.071462313334147e-11,1.241763432820638e-10,3.104408582051595e-11,1.241763432820638e-10,0.006796308209498723,0.00636028458053867,0.004625402223318815,0.008978813532739877,0.0030428607761859893,0.003560046417017778,0.0020771907828748223,0.003939408262570699,0.0019412251623968282,0.0015630974744757016,0.001095786119500796,0.002841236839691798,0.0011016356137891613,0.0007539919267098109,0.0004177658384044965,0.0021692050807178022
ood,val_I,I,FROZEN,terminal,matched_initial_goal_case,5,25,1e-06,0.06280360236763954,0.05851858407258988,0.03019257873296738,0.09541462600231171,0.06280360087752343,0.05851858407258988,0.03019257575273514,0.09541462600231171,0.0,0.0,0.0,0.0,0.31159600593149667,0.1692421119660139,0.16232155852019786,0.4892171809077263,0.4902243925631047,0.47883893847465514,0.37166645854711533,0.6159823346138,0.41602867230772966,0.3946409419178963,0.2940186949074268,0.5454569926857948,0.07419572025537492,0.05106872841715813,0.013074577450752259,0.14084921732544903
ood,val_I,I,OFFICIAL_ADAJEPA,full_horizon,matched_initial_goal_case,5,62,1e-06,0.0010779619325573247,0.0006275844061747193,0.0002541952254250646,0.0021388587666054566,0.001077962671406567,0.0006275844061747193,0.0002541952130074302,0.0021388610266149044,1.272807518641154e-10,1.5522042910257975e-11,3.104408582051595e-12,3.228584925333659e-10,0.008443944505415857,0.00814036352870365,0.00472620245690147,0.012609610577734808,0.004697721131766836,0.004330714745447039,0.0033840943903972708,0.006204915223643184,0.0026988188937927286,0.002134344866499305,0.00192121553234756,0.003890427085570991,0.0019989022379741073,0.0017305751486370962,-0.0002732818930720289,0.004045247181008259
ood,val_I,I,OFFICIAL_ADAJEPA,terminal,matched_initial_goal_case,5,25,1e-06,0.07608711689710618,0.0962666355073452,0.037541946470737456,0.10688913062214851,0.07608711689710618,0.0962666355073452,0.037541946470737456,0.10688913062214851,0.0,0.0,0.0,0.0,0.3067374336719513,0.19041746221482753,0.1465484242886305,0.47488440461456777,0.5063387356698513,0.49613313749432564,0.3719492143392563,0.6587907840311527,0.4150862906873226,0.40160498172044756,0.29155319571495053,0.5468351036310196,0.09125244498252869,0.04767157584428787,0.01595054745674133,0.17291194635629573
ood,val_I,I,PREDICTOR_ONLY,full_horizon,matched_initial_goal_case,5,62,1e-06,0.0017978120393430195,0.0006510802777484059,0.0002284017810598016,0.004184633573051536,0.001797811983463665,0.0006510802777484059,0.00022840166930109261,0.004184633589349681,1.272807518641154e-10,0.0,0.0,3.2596290111541746e-10,0.010407039406709373,0.008862820578118165,0.005935236513614655,0.014975119905235864,0.005403360123746097,0.004745847328255574,0.003028149912133813,0.00812743882338206,0.002794863395392895,0.002584938301394383,0.0017691427345077199,0.003904053152849277,0.0026084967283532025,0.0021609090268611907,-0.0005832715596382816,0.006060834874709447
ood,val_I,I,PREDICTOR_ONLY,terminal,matched_initial_goal_case,5,25,1e-06,0.08660276696085929,0.12025539875030518,0.0390488252043724,0.12580201625823975,0.08660276696085929,0.12025539875030518,0.0390488252043724,0.12580201625823975,0.0,0.0,0.0,0.0,0.3305733934789896,0.2093383688479662,0.17398962445557117,0.5046279926598072,0.49866914875805374,0.49099106453359126,0.37521920941770076,0.6388238573074341,0.4129122545570135,0.39699972569942477,0.2803578869998455,0.5497218753397466,0.08575689420104025,0.04877870231866836,0.015341825932264328,0.16024824917316435
ood,val_small_tee,small_tee,FROZEN,full_horizon,matched_initial_goal_case,4,10,1e-06,0.003472787153441459,0.003441442269831896,0.0018335538916289806,0.0051433652988635,0.00347278721164912,0.003441442269831896,0.0018335540662519634,0.0051433652988635,0.0,0.0,0.0,0.0,0.0103428126021754,0.011320953257381916,0.00531672581564635,0.015368899388704449,0.00913915250566788,0.0060621388256549835,0.0030240208143368363,0.01777668032445945,0.004728698171675205,0.004681791644543409,0.0001361803151667118,0.009321216028183699,0.004410454333992675,0.00496151705738157,-0.0016713611548766494,0.009962808282580227
ood,val_small_tee,small_tee,FROZEN,terminal,matched_initial_goal_case,5,25,1e-06,0.020573296993970872,0.022999360412359237,0.010007573068141937,0.03142461400479078,0.02057329647243023,0.022999360412359237,0.010007572025060654,0.03142461400479078,1.4901161193847657e-10,0.0,0.0,4.470348358154298e-10,0.20647578608244657,0.14904523678123952,0.09820224776864053,0.3586726888269186,0.43317376367747784,0.4275989767163992,0.2562284880876541,0.5942898966372012,0.43360216561704873,0.44227684792131183,0.2516599376127123,0.5908808594197035,-0.0004284019395709035,-0.00014357678592205047,-0.009262793511152266,0.00840598963201046
ood,val_small_tee,small_tee,OFFICIAL_ADAJEPA,full_horizon,matched_initial_goal_case,3,19,1e-06,0.0024808556203626923,0.0012538349255919456,0.000948445483421286,0.005240286452074846,0.002480854575211803,0.0012538349255919456,0.0009484431551148494,0.005240285644928614,2.5870071517096624e-11,0.0,0.0,7.761021455128987e-11,0.012477662160785663,0.012760465033352375,0.0058281155458341045,0.018844405903170505,0.008322736377724344,0.006723866332322359,0.00393821105050544,0.01430613175034523,0.007421399652957916,0.008299022912979126,0.004405000247061253,0.00956017579883337,0.0009013367247664266,-0.00046678919655581314,-0.0015751565806567669,0.00474595595151186
ood,val_small_tee,small_tee,OFFICIAL_ADAJEPA,terminal,matched_initial_goal_case,5,25,1e-06,0.034151220228523016,0.011514905840158463,0.008366984389722349,0.07507981544360517,0.034151220228523016,0.011514905840158463,0.008366984389722349,0.07507981544360517,0.0,0.0,0.0,0.0,0.1877244305796921,0.1427009914070368,0.09686568800359965,0.28893607217818496,0.44937725495547054,0.43914339896291493,0.2740585378929972,0.6148070767521858,0.43535594034940006,0.443616178072989,0.25763065088540316,0.5872785407304764,0.014021314606070517,0.019572123885154724,0.0009682871401309967,0.026652720421552662
ood,val_small_tee,small_tee,PREDICTOR_ONLY,full_horizon,matched_initial_goal_case,4,17,1e-06,0.0016528329482146849,0.0014792384851413467,0.0008918503299355507,0.0024865891318768263,0.0016528330258248993,0.0014792386403617759,0.0008918504851559796,0.002486589209487041,0.0,0.0,0.0,0.0,0.011565891817250911,0.009602626203559339,0.006639184042190513,0.017577848993823864,0.007174588235405585,0.005435023340396583,0.0036618534941226244,0.012426887871697547,0.006991112624139835,0.007216019555926323,0.0004959329962730408,0.013261385320220143,0.00018347561126574874,-0.0015269694849848747,-0.002860539359971881,0.004937935678754002
