kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms,split,sample
flow,H4,2,16,0.1217829564566963,0.8576335602224545,0.141998823396216,T,1
flow,H5,2,16,0.14207712096838376,0.923734180278845,0.1538073658002948,T,1
packed,single,1,64,0.06472880981543719,0.37372143174178446,0.17320068991965196,T,1
packed,H1,1,16,0.05583054342004276,0.3831280167104617,0.14572294633893906,T,1
packed,H2,1,16,0.079495965553875,0.6270904865891895,0.12676952888611312,T,1
packed,H3,1,16,0.09921504017509956,0.7915549617729171,0.12534194713766772,T,1
packed,H4,1,16,0.09514302210326073,0.8576335602224545,0.11093668265334948,T,1
packed,H5,1,16,0.10420684536281238,0.923734180278845,0.11281042489015158,T,1
flow,single,1,64,0.04600141146099605,0.27799128493951214,0.1654778906864129,L,0
flow,H1,1,16,0.04562709885580447,0.3239596952039707,0.14084189956740403,L,0
flow,H2,1,16,0.08048843598993094,0.5965139655247439,0.1349313522259727,L,0
flow,H3,1,16,0.08116951816944656,0.8156164263862946,0.09951922931356316,L,0
flow,H4,1,16,0.10034812665962198,0.9820656102010512,0.10218067470978688,L,0
flow,H5,1,16,0.09729576333315863,1.0689436798389915,0.09102047672690641,L,0
flow,single,2,64,0.04625047364973551,0.27799128493951214,0.16637382592694985,L,0
flow,H1,2,16,0.04573726764415594,0.3239596952039707,0.14118196899573865,L,0
flow,H2,2,16,0.07994998879755412,0.5965139655247439,0.13402869575270276,L,0
flow,H3,2,16,0.08095948534238075,0.8156164263862946,0.09926171509453695,L,0
flow,H4,2,16,0.10059238153944747,0.9820656102010512,0.10242939014925277,L,0
flow,H5,2,16,0.09766826078940874,1.0689436798389915,0.09136894920798812,L,0
packed,single,1,64,0.07039977110075113,0.27799128493951214,0.25324452569104583,L,0
packed,H1,1,16,0.05772564265759535,0.3239596952039707,0.1781877298694526,L,0
packed,H2,1,16,0.1444585011370502,0.5965139655247439,0.24217119713194366,L,0
packed,H3,1,16,0.16204577082952146,0.8156164263862946,0.19867889560229735,L,0
packed,H4,1,16,0.14709122523022616,0.9820656102010512,0.1497773913497625,L,0
packed,H5,1,16,0.13885287440452965,1.0689436798389915,0.12989727805439122,L,0
flow,single,1,64,0.062903737816377,0.3363149348565102,0.18703819336246566,L,1
flow,H1,1,16,0.09345514401211479,0.4561955073226553,0.2048576597358211,L,1
flow,H2,1,16,0.20071073102663878,0.9185937255506388,0.21849782492943268,L,1
flow,H3,1,16,0.20342949822213147,1.2103428518841493,0.16807592815990224,L,1
flow,H4,1,16,0.1991909325569931,1.3746275397333887,0.14490538476744508,L,1
flow,H5,1,16,0.19787253130314428,1.4827174519021797,0.13345262177179704,L,1
flow,single,2,64,0.06306525687378393,0.3363149348565102,0.18751845469096076,L,1
flow,H1,2,16,0.09380787811228712,0.4561955073226553,0.205630867920712,L,1
flow,H2,2,16,0.20082167355800207,0.9185937255506388,0.2186185992481303,L,1
flow,H3,2,16,0.20376770420913548,1.2103428518841493,0.16835535806398066,L,1
flow,H4,2,16,0.19956538953101946,1.3746275397333887,0.14517779090161798,L,1
flow,H5,2,16,0.19835836078974975,1.4827174519021797,0.13378028331377337,L,1
packed,single,1,64,0.0875412042785804,0.3363149348565102,0.2602953220496441,L,1
packed,H1,1,16,0.09464095366705724,0.4561955073226553,0.2074570050513894,L,1
packed,H2,1,16,0.16810225016421412,0.9185937255506388,0.1829995627974135,L,1
packed,H3,1,16,0.17944987797736958,1.2103428518841493,0.14826367396479329,L,1
packed,H4,1,16,0.17122267890616552,1.3746275397333887,0.12455932531322225,L,1
packed,H5,1,16,0.1720184410360909,1.4827174519021797,0.11601565815213699,L,1
