phase,split,arm,adaptation_stage,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
ood,val_small_tee,OFFICIAL_ADAJEPA,after_prior_factual_updates,small_tee,195,5,contrast (repeated within episode; not independent samples),0.01607307769680539,0.06823177630753023,0.10869284629085793,0.5538461538461539,59,0.30256410256410254,143,0.4125874125874126,1e-06,0.6307692307692307,49,0.2512820512820513,103,0.47572815533980584,0.011290435175984525,0.013338177184311625,0.07141032814979553,6.255464723859078e-05
ood,val_small_tee,OFFICIAL_ADAJEPA,first_mpc_replan_pre_update,small_tee,25,5,contrast (repeated within episode; not independent samples),0.01398849457502365,0.02649218448445808,0.540488565489527,0.72,4,0.16,21,0.19047619047619047,1e-06,0.72,4,0.16,16,0.25,0.06402325198054314,0.05685939848423004,0.012073136866092682,0.0
ood,val_small_tee,PREDICTOR_ONLY,after_prior_factual_updates,small_tee,185,5,contrast (repeated within episode; not independent samples),0.018800563575397874,0.07918000143450653,0.157854910102792,0.5405405405405406,60,0.32432432432432434,131,0.4580152671755725,1e-06,0.6324324324324324,43,0.23243243243243245,91,0.4725274725274725,0.015001404693199171,0.014140837917708465,0.03514508903026581,0.0
ood,val_small_tee,PREDICTOR_ONLY,first_mpc_replan_pre_update,small_tee,25,5,contrast (repeated within episode; not independent samples),0.01398849457502365,0.02649218448445808,0.540488565489527,0.72,4,0.16,21,0.19047619047619047,1e-06,0.72,4,0.16,16,0.25,0.06402325198054314,0.05685939848423004,0.012073136866092682,0.0
ood,val_square,FROZEN,first_mpc_replan_pre_update,square,25,5,contrast (repeated within episode; not independent samples),0.021430160403251648,0.03690967506899339,0.4989421134803676,0.68,6,0.24,25,0.24,1e-06,0.72,6,0.24,21,0.2857142857142857,0.05922687716782093,0.06484325885772706,0.041478872299194336,0.0
ood,val_square,FROZEN,later_mpc_replans_no_updates,square,405,5,contrast (repeated within episode; not independent samples),0.01131787175272396,0.08985690716719648,-0.1924754211330753,0.45185185185185184,137,0.33827160493827163,317,0.43217665615141954,1e-06,0.5037037037037037,98,0.2419753086419753,206,0.47572815533980584,0.008203066756120987,0.007702578515400765,0.18333503603935242,0.0
ood,val_square,OFFICIAL_ADAJEPA,after_prior_factual_updates,square,330,5,contrast (repeated within episode; not independent samples),0.015418525449367183,0.10380352533225104,0.049005635436935154,0.43333333333333335,141,0.42727272727272725,270,0.5222222222222223,1e-06,0.5545454545454546,104,0.3151515151515151,196,0.5306122448979592,0.00954649298395397,0.010620860872564442,0.6951361298561096,8.527923262480533e-05
ood,val_square,OFFICIAL_ADAJEPA,first_mpc_replan_pre_update,square,25,5,contrast (repeated within episode; not independent samples),0.021430160403251648,0.03690967506899339,0.4989421134803676,0.68,6,0.24,25,0.24,1e-06,0.72,6,0.24,21,0.2857142857142857,0.05922687716782093,0.06484325885772706,0.041478872299194336,0.0
ood,val_square,PREDICTOR_ONLY,after_prior_factual_updates,square,475,5,contrast (repeated within episode; not independent samples),0.011246722691300276,0.0901596981772043,0.27319541507474937,0.5389473684210526,170,0.35789473684210527,370,0.4594594594594595,1e-06,0.6210526315789474,119,0.2505263157894737,254,0.468503937007874,0.007454827436932216,0.00829967362855218,0.6975286602973938,0.0
ood,val_square,PREDICTOR_ONLY,first_mpc_replan_pre_update,square,25,5,contrast (repeated within episode; not independent samples),0.021430160403251648,0.03690967506899339,0.4989421134803676,0.68,6,0.24,25,0.24,1e-06,0.72,6,0.24,21,0.2857142857142857,0.05922687716782093,0.06484325885772706,0.041478872299194336,0.0
