phase,split,arm,gd_iter,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_T,PREDICTOR_ONLY,49,T,19,3,contrast (repeated within episode; not independent samples),0.0007335189086581139,0.0014031332702839573,0.13157894736842105,0.5263157894736842,4,0.21052631578947367,12,0.3333333333333333,1e-06,0.5263157894736842,4,0.21052631578947367,12,0.3333333333333333,0.00013492582059514366,0.0008434025681038436,0.0009675566107034683,0.0
development,val_T,PREDICTOR_ONLY,74,T,19,3,contrast (repeated within episode; not independent samples),9.143884955464225e-05,0.0002643633380282664,-0.5175438596491229,0.3684210526315789,11,0.5789473684210527,18,0.6111111111111112,1e-06,0.2631578947368421,7,0.3684210526315789,11,0.6363636363636364,7.3393059306238824e-06,8.515111709895886e-05,9.606452658772469e-05,0.0
development,val_T,PREDICTOR_ONLY,99,T,19,3,contrast (repeated within episode; not independent samples),1.321926614955852e-08,1.9266347028628744e-08,-0.3434637275221533,0.47368421052631576,9,0.47368421052631576,19,0.47368421052631576,1e-06,1.0,0,0.0,0,,8.88739075315626e-09,1.4680584794596622e-08,4.6566128730773926e-08,0.0
development,val_L,FROZEN,0,L,32,3,contrast (repeated within episode; not independent samples),0.030166650270984974,0.05065251429255802,0.849340175953079,0.96875,0,0.0,4,0.0,1e-06,0.96875,0,0.0,4,0.0,0.036075226664252114,0.053832700752536766,0.0,0.0
development,val_L,FROZEN,24,L,32,3,contrast (repeated within episode; not independent samples),0.0028201174500281923,0.005372297744696368,0.06121700879765395,0.3125,6,0.1875,12,0.5,1e-06,0.3125,6,0.1875,12,0.5,0.002905076187744271,0.005360902825486846,0.00548857357352972,0.0
development,val_L,FROZEN,49,L,32,3,contrast (repeated within episode; not independent samples),0.0008460178196401102,0.001704048244454097,-0.23533724340175952,0.3125,14,0.4375,22,0.6363636363636364,1e-06,0.28125,13,0.40625,20,0.65,0.0001344027041341178,0.00075750332143798,0.00566667877137661,0.0
development,val_L,FROZEN,74,L,32,3,contrast (repeated within episode; not independent samples),0.00015076418458193075,0.0003861447406559628,0.12976539589442815,0.5625,13,0.40625,29,0.4482758620689655,1e-06,0.28125,7,0.21875,13,0.5384615384615384,4.622437700163573e-06,0.00015096249808266293,0.0014063594862818718,0.0
development,val_L,FROZEN,99,L,32,3,contrast (repeated within episode; not independent samples),1.1496013030409813e-08,2.4777942223454756e-08,0.22820890418955453,0.28125,19,0.59375,28,0.6785714285714286,1e-06,1.0,0,0.0,0,,8.774804882705212e-09,9.924406185746193e-09,2.0489096641540527e-08,0.0
development,val_L,OFFICIAL_ADAJEPA,0,L,21,3,contrast (repeated within episode; not independent samples),0.1229082120560287,0.32193739320289905,0.8181818181818182,0.7142857142857143,3,0.14285714285714285,7,0.42857142857142855,1e-06,0.7142857142857143,3,0.14285714285714285,7,0.42857142857142855,0.05153129058003071,0.16278443846940285,0.12956377118825912,0.00022616292837829817
development,val_L,OFFICIAL_ADAJEPA,24,L,21,3,contrast (repeated within episode; not independent samples),0.003401112410106829,0.005841221480851286,0.11948051948051949,0.5238095238095238,8,0.38095238095238093,13,0.6153846153846154,1e-06,0.5238095238095238,8,0.38095238095238093,13,0.6153846153846154,0.004459620858099134,0.007197821906412996,0.007590005174279213,6.732871822480645e-06
development,val_L,OFFICIAL_ADAJEPA,49,L,21,3,contrast (repeated within episode; not independent samples),0.0025856813050008248,0.0056460707001220415,-0.08181818181818182,0.42857142857142855,9,0.42857142857142855,14,0.6428571428571429,1e-06,0.42857142857142855,9,0.42857142857142855,14,0.6428571428571429,0.00021224126352795532,0.002450227532314048,0.02261747093871236,1.628255094623282e-05
development,val_L,OFFICIAL_ADAJEPA,74,L,21,3,contrast (repeated within episode; not independent samples),0.0001047443864600999,0.00021943001938056625,0.45454545454545453,0.5238095238095238,9,0.42857142857142855,20,0.45,1e-06,0.5238095238095238,1,0.047619047619047616,11,0.09090909090909091,5.709140428474971e-06,0.00010676052243936629,0.000118219293653965,6.313452364078589e-07
development,val_L,OFFICIAL_ADAJEPA,99,L,21,3,contrast (repeated within episode; not independent samples),1.610689131276948e-08,3.0584300838863295e-08,0.22608997670564795,0.7142857142857143,6,0.2857142857142857,21,0.2857142857142857,1e-06,1.0,0,0.0,0,,1.2381601014307568e-08,1.481246380578904e-08,1.862645149230957e-08,2.938100979441688e-10
development,val_L,PREDICTOR_ONLY,0,L,20,3,contrast (repeated within episode; not independent samples),0.1597791823442094,0.3599276280697323,0.8165413533834586,0.7,3,0.15,7,0.42857142857142855,1e-06,0.7,3,0.15,7,0.42857142857142855,0.05380671414313838,0.20200729912612586,0.11674581095576286,0.0
development,val_L,PREDICTOR_ONLY,24,L,20,3,contrast (repeated within episode; not independent samples),0.004066520489868708,0.006564028813646216,0.06616541353383458,0.45,9,0.45,15,0.6,1e-06,0.45,9,0.45,15,0.6,0.004563012672588229,0.007989341174834408,0.006069811061024666,0.0
development,val_L,PREDICTOR_ONLY,49,L,20,3,contrast (repeated within episode; not independent samples),0.0015857385704293847,0.002649910381447274,-0.03909774436090225,0.55,7,0.35,14,0.5,1e-06,0.55,7,0.35,14,0.5,0.00021540915186051278,0.0014423007698496804,0.0038665486499667168,0.0
development,val_L,PREDICTOR_ONLY,74,L,20,3,contrast (repeated within episode; not independent samples),0.00014835815818514675,0.00035288231731842257,0.09172932330827067,0.4,10,0.5,18,0.5555555555555556,1e-06,0.4,7,0.35,14,0.5,5.922274431213736e-06,0.0001491743983933702,0.001400685403496027,0.0
development,val_L,PREDICTOR_ONLY,99,L,20,3,contrast (repeated within episode; not independent samples),1.7412821762263774e-08,3.200191609507976e-08,-0.058690744920993215,0.4,9,0.45,17,0.5294117647058824,1e-06,1.0,0,0.0,0,,1.2308009900152683e-08,1.5139812603592874e-08,2.9802322387695312e-08,0.0
ood,val_I,FROZEN,0,I,100,5,contrast (repeated within episode; not independent samples),0.029555878401733935,0.07351456100435463,0.46861086108610855,0.69,3,0.03,21,0.14285714285714285,1e-06,0.69,3,0.03,21,0.14285714285714285,0.03910892914049327,0.03741867748554796,0.024471573531627655,0.0
ood,val_I,FROZEN,24,I,100,5,contrast (repeated within episode; not independent samples),0.003914255928248167,0.013186104422866265,-0.11437143714371437,0.53,32,0.32,73,0.4383561643835616,1e-06,0.53,32,0.32,73,0.4383561643835616,0.0010321644647046924,0.003874217509292066,0.012955553829669952,0.0
ood,val_I,FROZEN,49,I,100,5,contrast (repeated within episode; not independent samples),0.0015836188290268183,0.006349780417127098,0.15625562556255623,0.55,38,0.38,81,0.4691358024691358,1e-06,0.5,33,0.33,74,0.44594594594594594,0.00010773817542940378,0.0015302170580253004,0.05267965793609619,0.0
ood,val_I,FROZEN,74,I,100,5,contrast (repeated within episode; not independent samples),0.000494707222096622,0.003039220586810714,-0.09143714371437144,0.45,55,0.55,100,0.55,1e-06,0.33,21,0.21,40,0.525,1.3709384948015213e-05,0.000490840976126492,0.0036641061305999756,0.0
ood,val_I,FROZEN,99,I,100,5,contrast (repeated within episode; not independent samples),2.3497268557548523e-08,6.11710930186026e-08,-0.1623726048449131,0.38,28,0.28,79,0.35443037974683544,1e-06,1.0,0,0.0,0,,1.9101426005363466e-08,9.12696123123169e-09,1.1920928955078125e-07,0.0
ood,val_I,OFFICIAL_ADAJEPA,0,I,87,5,contrast (repeated within episode; not independent samples),0.03441938403565651,0.08227998900942686,0.6973828096522562,0.8390804597701149,8,0.09195402298850575,40,0.2,1e-06,0.8390804597701149,8,0.09195402298850575,40,0.2,0.04435712582934862,0.0532681888997041,0.009801361709833145,0.00022649049394945987
