phase,split,run_id,sample_id,seed,arm,success,returned_model_actions,support_update_events,support_loss_improved_rate,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_L,dev_valL_official_n3,1,101,OFFICIAL_ADAJEPA,True,6,6,1.0,L,30,1,contrast (repeated within episode; not independent samples),0.020648517816637953,0.06417331922015075,0.5239737489315024,0.7333333333333333,8,0.26666666666666666,25,0.32,1e-06,0.7666666666666667,6,0.2,19,0.3157894736842105,0.012438655101383726,0.0325252436256657,0.12956377118825912,5.2224666190644106e-05
development,val_L,dev_valL_official_n3,2,201,OFFICIAL_ADAJEPA,True,9,9,1.0,L,45,1,contrast (repeated within episode; not independent samples),0.008853971605033924,0.027545527049440112,0.016600790513833993,0.5111111111111111,16,0.35555555555555557,31,0.5161290322580645,1e-06,0.5777777777777777,9,0.2,17,0.5294117647058824,0.00691116928226418,0.011552567494153563,0.00965593010187149,6.798910649700298e-05
development,val_L,dev_valL_predictor_only_n3,0,1,PREDICTOR_ONLY,True,6,6,1.0,L,30,1,contrast (repeated within episode; not independent samples),0.05471232463799727,0.2580318854571655,0.3419354838709677,0.4,14,0.4666666666666667,20,0.7,1e-06,0.6,8,0.26666666666666666,14,0.5714285714285714,0.016673631500452757,0.06949871092607889,0.003438718616962433,0.0
development,val_L,dev_valL_predictor_only_n3,1,101,PREDICTOR_ONLY,True,6,6,1.0,L,30,1,contrast (repeated within episode; not independent samples),0.04484891705214977,0.13869670355335498,0.23737486095661847,0.5333333333333333,13,0.43333333333333335,27,0.48148148148148145,1e-06,0.6,11,0.36666666666666664,21,0.5238095238095238,0.012412199812630812,0.05699911803628008,0.11674581095576286,0.0
development,val_L,dev_valL_predictor_only_n3,2,201,PREDICTOR_ONLY,True,8,8,1.0,L,40,1,contrast (repeated within episode; not independent samples),0.008118977220146918,0.020884039832010717,0.14362775005246678,0.55,11,0.275,24,0.4583333333333333,1e-06,0.65,7,0.175,15,0.4666666666666667,0.007481161790201441,0.01092069358273875,0.02297040820121765,0.0
ood,val_I,ood_valI_frozen_n5_attempt2,0,1,FROZEN,False,20,0,,I,100,1,contrast (repeated within episode; not independent samples),0.004335506539791823,0.017527236875028763,0.5177502453600301,0.6,27,0.27,68,0.39705882352941174,1e-06,0.67,14,0.14,40,0.35,0.007676276732236147,0.0073398701474070545,0.0050677284598350525,0.0
ood,val_I,ood_valI_frozen_n5_attempt2,1,101,FROZEN,False,20,0,,I,100,1,contrast (repeated within episode; not independent samples),0.00848055315669626,0.03167772136888826,0.07878988180721447,0.5,33,0.33,61,0.5409836065573771,1e-06,0.62,13,0.13,30,0.43333333333333335,0.007678258749656379,0.005036544445902109,0.012955553829669952,0.0
ood,val_I,ood_valI_frozen_n5_attempt2,2,201,FROZEN,False,20,0,,I,100,1,contrast (repeated within episode; not independent samples),0.011201181169599294,0.05444909587228301,0.016085034775828188,0.39,38,0.38,78,0.48717948717948717,1e-06,0.55,28,0.28,58,0.4827586206896552,0.007681836318224669,0.013117164745926857,0.05267965793609619,0.0
ood,val_I,ood_valI_frozen_n5_attempt2,3,301,FROZEN,False,20,0,,I,100,1,contrast (repeated within episode; not independent samples),0.005736741158179939,0.021470124179646458,0.022283111066873054,0.55,26,0.26,81,0.32098765432098764,1e-06,0.58,15,0.15,44,0.3409090909090909,0.008112853779457509,0.010240020575001835,0.024471573531627655,0.0
ood,val_I,ood_valI_frozen_n5_attempt2,4,401,FROZEN,False,20,0,,I,100,1,contrast (repeated within episode; not independent samples),0.005794501854106784,0.029857465824173448,0.36213296853747384,0.56,32,0.32,66,0.48484848484848486,1e-06,0.63,19,0.19,36,0.5277777777777778,0.009113334687426686,0.007580362241715193,0.0014699026942253113,0.0
