phase,split,run_id,arm,sample_id,adaptation_mpc_iter,next_query_mpc_iter,support_loss_delta,support_loss_improved,next_query_mae,next_query_thresholded_false_rate_all,next_query_sign_accuracy,next_query_max_env_worsening
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,1,0,1,-0.0016574906185269356,True,0.007748441677540541,0.6,0.4,0.0053186677396297455
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,1,1,2,-0.0016599821392446756,True,0.07072109170258045,0.4,0.4,8.926261216402054e-05
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,1,2,3,-0.000493394210934639,True,0.025272118393331766,0.2,0.8,0.11674581095576286
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,1,3,4,-0.00046951789408922195,True,0.13287142487242817,0.6,0.4,0.006069811061024666
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,1,4,5,-0.0003818583209067583,True,0.012722835596650838,0.4,0.6,0.06205656751990318
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,2,0,1,-0.0014533011708408594,True,0.004856028920039534,0.2,0.6,0.0006899195723235607
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,2,1,2,-0.0008792176377028227,True,0.0161758853122592,0.0,1.0,4.6566128730773926e-09
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,2,2,3,-0.0007237012032419443,True,0.015868276916444303,0.2,0.8,8.588284254074097e-05
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,2,3,4,-0.0006712463218718767,True,0.008249128889292478,0.6,0.2,0.02297040820121765
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,2,4,5,-0.0003458377905189991,True,0.0004526928532868624,0.0,0.6,1.3844110071659088e-06
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,2,5,6,-0.0004993150942027569,True,0.0017868771450594068,0.2,0.4,0.00019815005362033844
